"","X","code","sdate","gear","zone15e","zone15n","temp","do","vegd","stratum","richness","shannon","year"
"798","BKCP657",12004658,"09/10/2001","F",640755,4835762,21.3,9.1,NA,"IMP-S",9,1.982623282652,2001
"799","BKCP658",12004660,"09/10/2001","F",643305,4837162,19.5,8.9,1,"IMP-S",7,1.49989493648964,2001
"800","BLGL673",12004887,"07/09/2002","F",643255,4835712,28.2,5.4,2,"IMP-S",5,1.22991860376421,2002
"801","BKCP659",12004888,"07/10/2002","F",643555,4839412,25.7,4.8,1,"IMP-S",5,1.22752941145721,2002
"802","BKCP660",12006177,"10/08/2008","F",638955,4837662,12.9,10.5,2,"BWC-S",9,1.82142125893577,2008
"803","BKCP661",12006179,"10/08/2008","F",638855,4837562,13.1,7.5,2,"BWC-S",16,2.24600173569893,2008
"804","BLGL677",12006339,"09/24/2009","F",640605,4842462,22,6.3,2,"BWC-S",8,1.87345173755457,2009
"805","BKCP662",12006453,"07/12/2010","F",639205,4838712,25.7,5.8,2,"BWC-S",12,1.97477874390982,2010
"806","BLGL679",12006556,"08/25/2010","F",642005,4841412,24.8,6.4,2,"BWC-S",11,1.7252762181472,2010
"807","BKCP663",12006568,"09/07/2010","F",642405,4841112,17.7,6.3,2,"BWC-S",15,2.22541858076295,2010
"808","BKCP664",12006592,"09/16/2010","F",638605,4858512,17.9,5.1,1,"BWC-S",5,1.04604837370356,2010
"809","BKCP665",12006171,"10/08/2008","F",639555,4830012,15,7.4,1,"IMP-S",7,1.48739978068033,2008
"810","BKCP666",12006321,"09/21/2009","F",642305,4847112,21.2,6.4,1,"BWC-S",10,1.6006037777906,2009
"811","BKCP667",12006322,"09/21/2009","F",642455,4847062,21.4,6.3,1,"BWC-S",12,1.90409384633059,2009
"812","BKCP668",12006323,"09/21/2009","F",642105,4845412,22,7.1,1,"BWC-S",5,1.47984841847686,2009
"813","BKCP669",12006327,"09/21/2009","F",641905,4841912,21.6,6.1,2,"BWC-S",11,1.78267811358072,2009
"814","BLGL687",12006439,"07/01/2010","F",643305,4835962,25.1,9.1,2,"IMP-S",9,1.90853872463419,2010
"815","BKCP670",12006442,"07/06/2010","F",641805,4849312,26.1,4.5,2,"BWC-S",13,2.15126074743713,2010
"816","BLGL689",12006445,"07/06/2010","F",643155,4846462,25.7,5.7,2,"BWC-S",4,0.983087758574785,2010
"817","BKCP671",12006446,"07/06/2010","F",643155,4846062,26,6.3,2,"BWC-S",9,1.95213820941536,2010
"818","BKCP672",12006447,"07/06/2010","F",643055,4846062,25.8,5.8,2,"BWC-S",5,1.16999299696686,2010
"819","BKCP673",12006503,"08/10/2010","F",638005,4857562,26.6,3.8,2,"BWC-S",9,1.89010355700033,2010
"820","BKCP674",12006550,"08/24/2010","F",641055,4839912,25.9,6.1,2,"BWC-S",11,1.84446379377763,2010
"821","BLGL694",12006553,"08/25/2010","F",640855,4841212,24.7,7.2,2,"BWC-S",4,1.27985422583367,2010
"822","BKCP675",12005556,"09/07/2005","F",639955,4838662,24.1,7.8,2,"BWC-S",10,1.85028181136677,2005
"823","BKCP676",12005731,"09/07/2006","F",639705,4854412,23.8,8.2,1,"BWC-S",11,1.75217954799502,2006
"824","BKCP677",12005764,"10/03/2006","F",641205,4842812,17.1,11.9,2,"BWC-S",9,1.59416257665517,2006
"825","BKCP678",12005846,"08/27/2007","F",637555,4857712,23.5,7.7,2,"BWC-S",8,1.78702471384834,2007
"826","BLGL699",12006368,"10/01/2009","F",640105,4837562,12.2,4.2,2,"BWC-S",6,1.60520710745546,2009
"827","BLGL700",12006370,"10/01/2009","F",640155,4829112,14.4,5.6,2,"IMP-S",6,1.42131785655613,2009
"828","BLGL701",12006434,"06/30/2010","F",641155,4835762,24.4,6.3,2,"IMP-S",12,2.26819912707679,2010
"829","BKCP679",12006622,"09/29/2010","F",643405,4828662,15.9,4.7,1,"IMP-S",14,2.15937452857144,2010
"830","BKCP680",12006624,"09/29/2010","F",642955,4833762,16.2,4.3,1,"IMP-S",7,1.29688452548787,2010
"831","BKCP681",12006646,"10/13/2010","F",644355,4841912,15.9,6.4,1,"BWC-S",16,2.17543818814213,2010
"832","BKCP682",12006650,"10/14/2010","F",641105,4839412,15.4,7.4,1,"BWC-S",11,2.13792410577775,2010
"833","BKCP683",12006651,"10/14/2010","F",641255,4839412,15.4,7,1,"BWC-S",6,1.50810518331015,2010
"834","BKCP684",12006255,"08/19/2009","F",643905,4842612,22.8,5.1,2,"BWC-S",4,1.17704530271626,2009
"835","BLGL708",12006256,"08/19/2009","F",642705,4841562,24.4,6.1,2,"BWC-S",7,1.56675906251083,2009
"836","BKCP685",12006257,"08/20/2009","F",642355,4840962,22.9,3.1,2,"BWC-S",5,1.56071040904141,2009
"837","BKCP686",12006259,"08/20/2009","F",641005,4841412,23.3,6.3,2,"BWC-S",6,1.36336310234817,2009
"838","BLGL711",12006261,"08/20/2009","F",639405,4842162,22.7,5.2,2,"BWC-S",6,1.6313454208086,2009
"839","BKCP687",12006421,"06/24/2010","F",641755,4843412,25.5,3.6,2,"BWC-S",9,1.89378823239114,2010
"840","BKCP688",12006410,"06/22/2010","F",643205,4842712,25.1,7.6,2,"BWC-S",13,2.04767142543168,2010
"841","BLGL714",12006415,"06/24/2010","F",642055,4841312,24.8,8.6,2,"BWC-S",7,1.75015849054897,2010
"842","BKCP689",12006416,"06/24/2010","F",641755,4841262,24.9,6.8,2,"BWC-S",9,1.57900255587998,2010
"843","BKCP690",12006532,"08/17/2010","F",639555,4830962,24.4,5,2,"IMP-S",9,1.64463540177986,2010
"844","BKCP691",12006604,"09/21/2010","F",639155,4842462,18.2,5.5,2,"BWC-S",8,1.25367706297123,2010
"845","BKCP692",12006605,"09/21/2010","F",639205,4843362,18.4,8,2,"BWC-S",5,1.32960076786058,2010
"846","BKCP693",12006640,"10/07/2010","F",643155,4846662,15.4,6.2,1,"BWC-S",6,1.46827986830267,2010
"847","BKCP694",12006642,"10/07/2010","F",643505,4844862,15.7,5.9,1,"BWC-S",7,1.43737425469947,2010
"848","BKCP695",12006644,"10/13/2010","F",642955,4842112,14.9,2.3,1,"BWC-S",12,2.12926097264047,2010
"849","BKCP696",12006645,"10/13/2010","F",643355,4842562,14.7,2.6,1,"BWC-S",14,2.06493650754706,2010
"850","BLGL723",12006734,"07/11/2011","F",643055,4845412,26.6,5,2,"BWC-S",9,1.81659921365488,2011
"851","BLGL724",12006735,"07/11/2011","F",642355,4844262,27.1,6.6,2,"BWC-S",12,2.27328915807688,2011
"852","BKCP697",12006739,"07/11/2011","F",641955,4842962,27.4,7,1,"BWC-S",7,1.73612118281476,2011
"853","BLGL726",12006741,"07/11/2011","F",644005,4843812,27.8,7.3,1,"BWC-S",2,0.450561208866305,2011
"854","BLGL727",12006347,"09/28/2009","F",639255,4843712,13.9,9.5,2,"BWC-S",3,1.01140426470735,2009
"855","BKBH13",12006348,"09/28/2009","F",639755,4844212,14.8,9,2,"BWC-S",5,1.27001815191049,2009
"856","BKCP698",12006350,"09/28/2009","F",643805,4840412,16.1,7,2,"BWC-S",9,1.69570958476068,2009
"857","BWFN339",12006351,"09/28/2009","F",643305,4839062,15.8,6.8,2,"IMP-S",5,1.39043779493948,2009
"858","BKCP699",12006352,"09/28/2009","F",643455,4838662,15,7.1,2,"IMP-S",11,1.83749147849809,2009
"859","BLGL731",12006409,"06/22/2010","F",642705,4840212,23.5,6.4,2,"BWC-S",10,1.97739781749709,2010
"860","BLGL732",12006525,"08/17/2010","F",642505,4836862,24.6,1.7,2,"IMP-S",11,1.96472220647614,2010
"861","BLGL733",12006527,"08/17/2010","F",641205,4835512,24.9,7.6,2,"IMP-S",4,1.21104401678012,2010
"862","BLGL734",12006528,"08/17/2010","F",643455,4829512,21.7,5.3,2,"IMP-S",9,1.89675601852072,2010
"863","BKCP700",12006575,"09/07/2010","F",640305,4847512,17.6,5.4,1,"BWC-S",14,2.14009637092187,2010
"864","BKCP701",12006578,"09/07/2010","F",641955,4845762,17.7,4.8,2,"BWC-S",9,1.64227344059319,2010
"865","BKCP702",12006638,"10/07/2010","F",641705,4847562,15.1,5.4,NA,"BWC-S",4,1.16828245017656,2010
"866","BKCP703",12004947,"08/26/2002","F",642305,4845162,24.9,7.4,2,"BWC-S",7,1.39720479752325,2002
"867","BKBF",12005226,"07/12/2004","F",642905,4834112,23.2,6.6,1,"IMP-S",6,1.53060524205894,2004
"868","BKCP704",12006864,"09/19/2011","F",641155,4845012,16.7,5.5,2,"BWC-S",11,1.79742571405346,2011
"869","BKCP705",12006865,"09/19/2011","F",641255,4843562,17.4,7.7,1,"BWC-S",3,0.950270539233235,2011
"870","BKCP706",12006866,"09/19/2011","F",640955,4842912,17.7,7.7,1,"BWC-S",4,1.136916591833,2011
"871","BKCP707",12006869,"09/19/2011","F",639355,4842562,17.4,7.7,2,"BWC-S",10,2.03773419478515,2011
"872","BKCP708",12006590,"09/16/2010","F",638355,4858362,17,4.3,2,"BWC-S",9,1.63360149556491,2010
"873","BKCP709",12006627,"09/29/2010","F",641255,4835462,16.8,6.8,1,"IMP-S",16,2.15976756868139,2010
"874","BKCP710",12006628,"09/29/2010","F",641105,4835412,17.5,6.4,1,"IMP-S",13,2.10895846494514,2010
"875","BKCP711",12006690,"06/23/2011","F",640855,4848112,20.3,5.8,1,"BWC-S",8,1.73134081757119,2011
"876","BKCP712",12006691,"06/23/2011","F",642355,4847412,20.9,6.7,1,"BWC-S",8,1.63878056853599,2011
"877","BKCP713",12006692,"06/23/2011","F",642805,4847762,21.1,8.2,1,"BWC-S",5,1.25364877570946,2011
"878","BKCP714",12006695,"06/23/2011","F",641555,4846412,21.3,6.1,2,"BWC-S",9,1.80406459925758,2011
"879","BKCP715",12006914,"10/04/2011","F",638905,4837862,15.3,10,2,"BWC-S",7,1.68067981528053,2011
"880","BKCP716",12006089,"09/02/2008","F",642955,4846312,26.2,6.1,2,"BWC-S",7,1.60416472027251,2008
"881","BKCP717",12006092,"09/02/2008","F",642055,4845512,25.9,8.5,2,"BWC-S",7,1.64589342749606,2008
"882","BKCP718",12006094,"09/02/2008","F",643705,4845062,25.6,6.7,2,"BWC-S",6,1.50407739677627,2008
"883","BKCP719",12006097,"09/03/2008","F",643205,4842162,21.9,6.8,2,"BWC-S",8,1.71394468858783,2008
"884","BKCP720",12006749,"07/13/2011","F",640405,4838262,26.6,8.2,2,"BWC-S",14,2.35966518551107,2011
"885","BLGL757",12006750,"07/13/2011","F",640455,4836612,26,10.7,2,"IMP-S",9,1.73980133439873,2011
"886","BKCP721",12006751,"07/13/2011","F",641055,4836312,26,8.4,1,"IMP-S",9,1.92153253594294,2011
"887","BKCP722",12006752,"07/13/2011","F",641005,4835712,26,7,2,"IMP-S",14,2.44399980847727,2011
"888","BLGL760",12006799,"08/15/2011","F",643455,4838612,26.7,6.8,2,"IMP-S",6,1.58325845942048,2011
"889","BLGL761",12006800,"08/15/2011","F",642705,4837362,25.2,5.3,2,"IMP-S",10,1.98829816258446,2011
"890","BLGL762",12006802,"08/15/2011","F",641855,4827762,25.7,6.1,2,"IMP-S",8,1.80195113979326,2011
"891","BKCP723",12006893,"09/28/2011","F",636555,4857112,16,8.9,NA,"BWC-S",8,1.22733335799361,2011
"892","BLGL764",12006896,"09/28/2011","F",637055,4857362,15.7,8.5,NA,"BWC-S",2,0.376770161256437,2011
"893","BKCP724",12006905,"10/03/2011","F",641705,4834162,15.4,11.6,2,"IMP-S",10,1.85035929875764,2011
"894","BKCP725",12006988,"07/05/2012","F",640905,4843112,29.2,7.2,2,"BWC-S",9,1.80294575967013,2012
"895","BKCP726",12006989,"07/05/2012","F",641255,4842962,29.5,7.5,2,"BWC-S",11,1.97572490117275,2012
"896","BLGL768",12006991,"07/05/2012","F",640855,4839162,29.5,4.7,2,"BWC-S",5,1.40063470291688,2012
"897","BLGL769",12007075,"08/14/2012","F",641805,4834112,23.8,7.4,2,"IMP-S",5,1.49417513828931,2012
"898","BKCP727",12007128,"09/05/2012","F",644605,4843162,23,5.9,1,"BWC-S",8,1.775930715419,2012
"899","BKCP728",12006742,"07/12/2011","F",642955,4840812,26.8,6.7,2,"BWC-S",16,2.31972101942879,2011
"900","BKCP729",12006743,"07/12/2011","F",643455,4838862,26.3,6.2,1,"IMP-S",7,1.51694780139817,2011
"901","BKCP730",12006846,"09/07/2011","F",642455,4841462,22.4,8.1,2,"BWC-S",8,1.79418886134455,2011
"902","BKCP731",12006848,"09/07/2011","F",642405,4841412,22.9,7.9,2,"BWC-S",10,2.00951808117201,2011
"903","BKCP732",12006850,"09/07/2011","F",642055,4841562,22.6,8.2,2,"BWC-S",13,2.31320376220991,2011
"904","BLGL776",12006785,"08/08/2011","F",639955,4838712,26.7,5.2,2,"BWC-S",10,2.13134147441796,2011
"905","BKCP733",12006844,"09/07/2011","F",643855,4845212,21.2,7.2,1,"BWC-S",9,1.81498941204925,2011
"906","BKCP734",12006845,"09/07/2011","F",643955,4844912,20.4,5.7,2,"BWC-S",11,1.8169579525217,2011
"907","BKCP735",12006929,"10/19/2011","F",643105,4841012,10.6,12,1,"BWC-S",11,1.96347903758347,2011
"908","BKCP736",12006936,"10/19/2011","F",643205,4837312,9.6,11.8,1,"IMP-S",9,1.89368301920149,2011
"909","BKCP737",12006940,"10/20/2011","F",642905,4845612,10.1,10.9,NA,"BWC-S",7,1.6681739719974,2011
"910","BKCP738",12006942,"10/20/2011","F",643055,4845362,9.8,10.9,NA,"BWC-S",7,1.73324965752423,2011
"911","BKCP739",12006977,"07/02/2012","F",638655,4858412,28.4,6.8,NA,"BWC-S",6,1.54267196873815,2012
"912","BKCP740",12006978,"07/02/2012","F",638505,4857112,27.7,5.3,1,"BWC-S",12,1.92100875663031,2012
"913","BLGL785",12006979,"07/02/2012","F",639055,4855362,27.1,6.5,2,"BWC-S",8,1.89428715832979,2012
"914","BKCP741",12006980,"07/02/2012","F",637705,4856112,26.8,6,1,"BWC-S",6,1.47170372958877,2012
"915","BKCP742",12007119,"08/29/2012","F",639205,4855362,24.7,8.7,1,"BWC-S",10,1.91403478000216,2012
"916","BLGL788",12006733,"07/11/2011","F",642505,4845762,26.7,5.7,2,"BWC-S",7,1.86198610816871,2011
"917","BKCP743",12006774,"08/04/2011","F",637555,4856162,27.3,5.4,1,"BWC-S",9,1.68886167474155,2011
"918","BLGL790",12006777,"08/04/2011","F",638755,4856262,27.6,5,1,"BWC-S",9,2.10984033597229,2011
"919","BKCP744",12006781,"08/08/2011","F",640755,4841362,26.6,5.1,2,"BWC-S",6,1.5396544474401,2011
"920","BKCP745",12006783,"08/08/2011","F",640205,4840612,26.6,5.6,1,"BWC-S",5,1.52295506753132,2011
"921","BLGL793",12006928,"10/19/2011","F",642905,4840712,10.7,8.8,1,"BWC-S",7,1.61876457225882,2011
"922","RKBS231",12005611,"10/18/2005","F",641505,4841312,15,5.3,1,"BWC-S",1,0,2005
"923","BKCP746",12005612,"10/18/2005","F",641305,4841412,15,5.3,1,"BWC-S",11,2.08010833731953,2005
"924","BLGL795",12005613,"10/18/2005","F",641605,4841562,15.1,5.1,2,"BWC-S",4,1.08889997534522,2005
"925","BKCP747",12005616,"10/18/2005","F",641705,4843262,15.6,5.1,1,"BWC-S",7,1.6114357549307,2005
"926","BKCP748",12006961,"06/18/2012","F",642055,4845812,23.6,7,NA,"BWC-S",5,1.19007630720819,2012
"927","BKCP749",12006962,"06/18/2012","F",642055,4845162,23.5,6.9,NA,"BWC-S",3,0.994923632571775,2012
"928","BKCP750",12007149,"09/10/2012","F",640855,4847812,21.9,9.2,1,"BWC-S",12,1.89130638454058,2012
"929","BLGL800",12007150,"09/17/2012","F",642955,4833962,17.7,7.8,2,"IMP-S",9,1.43344114387101,2012
"930","BKCP751",12007153,"09/17/2012","F",642705,4837112,17.9,7.8,2,"IMP-S",8,1.46144626710142,2012
"931","BKCP752",12007356,"08/08/2013","F",641854,4842661,22.7,10.8,2,"BWC-S",11,2.30963253093806,2013
"932","BKCP753",12007360,"08/08/2013","F",642954,4845361,23.2,7.8,2,"BWC-S",10,1.94747731535243,2013
"933","BKCP754",12007361,"08/08/2013","F",643954,4845111,23.8,10,2,"BWC-S",14,2.25490179567362,2013
"934","BLGL805",12007011,"07/16/2012","F",642505,4826962,31.5,16.1,2,"IMP-S",3,1.02965301406457,2012
"935","BLGL806",12007012,"07/16/2012","F",641955,4827612,29.4,14.5,2,"IMP-S",4,1.22028216627224,2012
"936","BKCP755",12007016,"07/16/2012","F",639205,4836912,29.3,8.7,2,"BWC-S",7,1.73265872019921,2012
"937","BKCP756",12007139,"09/10/2012","F",642455,4848312,22.3,9,2,"BWC-S",10,1.67946039385495,2012
"938","BKCP757",12007143,"09/10/2012","F",642955,4846712,20.4,6.8,2,"BWC-S",8,1.7820092249432,2012
"939","BKCP758",12007144,"09/10/2012","F",642355,4844162,22.1,10.4,2,"BWC-S",4,1.17138141687172,2012
"940","BLGL811",12006270,"08/24/2009","F",642255,4827262,25.5,18.6,2,"IMP-S",4,1.27703425946614,2009
"941","BKCP759",12006274,"08/25/2009","F",640205,4839162,21.8,6.5,2,"BWC-S",8,1.50089491017517,2009
"942","BKCP760",12006276,"08/26/2009","F",641105,4835762,22.5,6.8,2,"IMP-S",8,1.69228146071754,2009
"943","BKCP761",12006280,"08/26/2009","F",639455,4832062,22.2,5.6,1,"IMP-S",4,1.00271826451752,2009
"944","BKCP762",12006389,"10/07/2009","F",641805,4848062,13.2,7.2,2,"BWC-S",9,1.78941919008257,2009
"945","BKCP763",12006435,"06/30/2010","F",641105,4834962,23.8,7,2,"IMP-S",10,1.99382213620478,2010
"946","BLGL817",12006438,"06/30/2010","F",640905,4828612,24.2,8.3,2,"IMP-S",11,1.837155433684,2010
"947","BKCP764",12006548,"08/24/2010","F",640105,4837962,25.7,5.3,2,"BWC-S",5,1.50478828368119,2010
"948","BKCP765",12006549,"08/24/2010","F",640155,4839162,25.9,6,2,"BWC-S",13,2.17833858823166,2010
"949","BKCP766",12007129,"09/05/2012","F",643055,4841112,23,6.9,2,"BWC-S",11,2.04665078492126,2012
"950","BKCP767",12007130,"09/05/2012","F",640705,4839562,24,6.2,2,"BWC-S",9,1.82010229809496,2012
"951","BKCP768",12007222,"10/10/2012","F",643205,4845812,11.3,12.1,1,"BWC-S",3,0.796311640173813,2012
"952","BKCP769",12007225,"10/10/2012","F",643655,4844912,10.8,12.6,1,"BWC-S",11,1.98957683849413,2012
"953","BKCP770",12007227,"10/10/2012","F",639555,4853112,12.3,7.9,NA,"BWC-S",4,0.928624410869327,2012
"954","BKCP771",12007284,"06/24/2013","F",637005,4857362,23.4,6.2,NA,"BWC-S",5,1.31960034391786,2013
"955","BKCP772",12007398,"08/27/2013","F",640554,4847911,28.3,10.2,1,"BWC-S",12,2.18166230275645,2013
"956","BKCP773",12007400,"08/27/2013","F",639654,4851912,28.4,13.2,NA,"BWC-S",6,1.52745288619884,2013
"957","BKCP774",12007447,"09/16/2013","F",638904,4837311,20.8,7.5,2,"BWC-S",14,1.61457719649562,2013
"958","BKCP775",12007501,"10/09/2013","F",643404,4838161,15.5,7.1,1,"IMP-S",7,1.49629899222503,2013
"959","BKCP776",12007502,"10/09/2013","F",643554,4839561,15.3,6.7,2,"IMP-S",6,1.44693499469465,2013
"960","BLGL831",12007548,"06/17/2014","F",642005,4827612,21.6,7.5,1,"IMP-S",11,2.21278961386593,2014
"961","BKCP777",12006944,"10/20/2011","F",644055,4845062,7.9,11.3,1,"BWC-S",9,1.90795181400669,2011
"962","BKCP778",12006985,"07/05/2012","F",639755,4842662,29,2.7,2,"BWC-S",9,1.67019417891831,2012
"963","BKCP779",12007120,"08/29/2012","F",639605,4851662,25.5,13.1,NA,"BWC-S",9,1.87561468181325,2012
"964","BKCP780",12007343,"07/24/2013","F",639604,4830311,24.3,8.2,1,"IMP-S",8,1.64024039268876,2013
"965","BKCP781",12007261,"06/17/2013","F",641654,4843661,26.4,12.5,1,"BWC-S",10,1.86132198178897,2013
"966","BKBH14",12007263,"06/17/2013","F",639554,4849361,22.7,10.3,1,"BWC-S",11,1.79199827401387,2013
"967","BKBH15",12007334,"07/23/2013","F",641204,4834511,24,8.9,2,"IMP-S",11,2.1963277500417,2013
"968","BLGL839",12007336,"07/23/2013","F",641204,4834761,24,10.6,1,"IMP-S",10,2.08509233738142,2013
"969","BLGL840",12007338,"07/23/2013","F",643354,4837711,24.6,10.2,2,"IMP-S",4,1.22028216627224,2013
"970","BLGL841",12007339,"07/24/2013","F",639854,4843111,22.7,6.7,2,"BWC-S",4,1.31078367809971,2013
"971","BLGL842",12007340,"07/24/2013","F",640804,4839811,24.4,9.6,2,"BWC-S",12,2.13543836474752,2013
"972","BLGL843",12007385,"08/19/2013","F",641554,4827911,24.6,15,2,"IMP-S",4,1.15698764434527,2013
"973","BLGL844",12007386,"08/19/2013","F",641304,4827961,24.2,13.5,2,"IMP-S",4,1.14905969697062,2013
"974","BKCP783",12007389,"08/19/2013","F",639404,4836461,25.1,16.5,1,"BWC-S",6,1.59997142092687,2013
"975","BKCP784",12007434,"09/09/2013","F",640554,4840611,24.9,9.4,1,"BWC-S",12,2.18109292696093,2013
"976","BLGL847",12007437,"09/11/2013","F",643254,4835711,24.6,7.3,2,"IMP-S",7,1.40161715083865,2013
"977","BKCP785",12007442,"09/11/2013","F",640804,4835761,26.1,11.6,2,"IMP-S",13,2.2854813081452,2013
"978","BLGL849",12007443,"09/16/2013","F",640704,4828961,18.6,8.6,2,"IMP-S",6,1.52094997520769,2013
"979","BKCP786",12007444,"09/16/2013","F",639154,4834861,20.6,7.4,2,"IMP-S",8,1.50208803071358,2013
"980","BKCP787",12007495,"10/07/2013","F",639604,4849011,16.2,7.2,2,"BWC-S",11,1.95378668643043,2013
"981","BKCP788",12007594,"07/15/2014","F",642655,4848212,21.9,6.5,2,"BWC-S",6,1.63416412048775,2014
"982","BKCP789",12007595,"07/15/2014","F",643255,4847212,20.4,4.7,1,"BWC-S",12,2.28045398898996,2014
"983","BCWC1",12007596,"07/15/2014","F",642405,4847062,21.5,6.5,2,"BWC-S",13,1.76059848729941,2014
"984","BKCP791",12007157,"09/17/2012","F",640855,4836362,19.8,6.3,2,"IMP-S",8,1.61140960822788,2012
"985","BKCP792",12007158,"09/17/2012","F",639355,4836412,19.5,9.3,2,"BWC-S",8,1.4140593908935,2012
"986","BKCP793",12007195,"10/01/2012","F",644255,4841762,15.6,8.9,2,"BWC-S",10,1.76222126269667,2012
"987","BKCP794",12007198,"10/01/2012","F",642655,4841062,16.3,15.4,1,"BWC-S",6,1.53672246943722,2012
"988","BKCP795",12007199,"10/01/2012","F",641705,4841962,16.5,15.6,1,"BWC-S",7,1.66859118621082,2012
"989","BKCP796",12007201,"10/01/2012","F",642005,4842712,17.5,16.3,1,"BWC-S",8,1.8114749281788,2012
"990","BLGL861",12007255,"06/17/2013","F",642304,4845461,22.7,7.2,1,"BWC-S",5,1.22607605036617,2013
"991","BKCP797",12007258,"06/17/2013","F",643854,4844411,25.3,9.9,2,"BWC-S",10,1.99370106145371,2013
"992","BKCP798",12007260,"06/17/2013","F",641654,4843311,25.3,9.1,1,"BWC-S",13,2.16358199531085,2013
"993","BLGL864",12007327,"07/22/2013","F",644004,4841211,25,4.9,2,"BWC-S",8,1.93079933953503,2013
"994","BKCP799",12007328,"07/22/2013","F",643004,4840511,26.4,7.8,2,"BWC-S",11,1.99994805638478,2013
"995","LNGR251",12007331,"07/22/2013","F",641604,4841711,26.7,7.9,2,"BWC-S",3,0.990835386443849,2013
"996","BKCP800",12007430,"09/09/2013","F",639304,4842561,22.5,2,2,"BWC-S",9,1.83604754147313,2013
"997","BKCP801",12007431,"09/09/2013","F",639454,4841911,23.6,5.6,2,"BWC-S",14,2.31940656680938,2013
"998","BKCP802",12007433,"09/09/2013","F",640504,4840211,24.9,10.2,1,"BWC-S",10,2.04583317589566,2013
"999","BKCP803",12007482,"09/30/2013","F",642154,4841861,18.7,10.7,2,"BWC-S",7,1.48964254906436,2013
"1000","CARP437",12007483,"09/30/2013","F",641504,4841311,18.5,10.6,2,"BWC-S",1,0,2013
"1001","BKCP804",12007484,"09/30/2013","F",641404,4842311,19,10.4,2,"BWC-S",11,2.08273485736752,2013
"1002","BLGL871",12007530,"10/21/2013","F",640904,4843411,10,9.9,NA,"BWC-S",4,1.03176711135054,2013
"1003","BKCP805",12005780,"10/09/2006","F",642905,4842112,14.3,8.1,2,"BWC-S",9,1.90407854425449,2006
"1004","BKCP806",12005783,"10/09/2006","F",642305,4841612,14.3,7.3,2,"BWC-S",3,0.600166073159646,2006
"1005","BKCP807",12005784,"10/10/2006","F",642955,4846262,14.6,10,1,"BWC-S",7,1.6550578311014,2006
"1006","BLGL875",12005819,"10/24/2006","F",642555,4846412,3.7,12.2,1,"BWC-S",2,0.450561208866305,2006
"1007","BKCP808",12005820,"10/24/2006","F",642405,4847312,4.4,14.6,1,"BWC-S",9,1.87227425567351,2006
"1008","BKCP809",12005821,"10/24/2006","F",643355,4846962,6.3,12.6,1,"BWC-S",7,1.44083167196868,2006
"1009","BKCP810",12005825,"10/24/2006","F",639405,4849862,7.4,14.3,1,"BWC-S",4,1.25440500404061,2006
"1010","BKCP811",12005870,"08/29/2007","F",643305,4841562,23.7,4.7,1,"BWC-S",9,1.88007336511735,2007
"1011","BKCP812",12007634,"08/04/2014","F",643505,4839312,25.3,6.4,2,"IMP-S",8,1.75909368512204,2014
"1012","BLGL881",12007635,"08/04/2014","F",642505,4837012,26.5,9.4,2,"IMP-S",5,1.41848366194566,2014
"1013","BLGL882",12007638,"08/04/2014","F",641205,4835212,25.9,11.1,2,"IMP-S",9,1.97488503992004,2014
"1014","NFSH2",12007640,"08/04/2014","F",641655,4834412,25.9,10.1,2,"IMP-S",1,0,2014
"1015","BKCP813",12007642,"08/06/2014","F",636555,4857212,25.4,9.7,2,"BWC-S",6,1.3497923961724,2014
"1016","BKCP814",12007645,"08/06/2014","F",637705,4856212,25.3,9.8,1,"BWC-S",6,1.54548732162103,2014
"1017","BKCP815",12007750,"09/25/2014","F",643505,4841612,17.9,7.6,2,"BWC-S",13,2.09849568032343,2014
"1018","BKCP816",12007751,"09/25/2014","F",643705,4840012,17.7,6.3,2,"IMP-S",4,0.567060930955282,2014
"1019","BKCP817",12007753,"09/25/2014","F",642905,4834112,18,8.4,2,"IMP-S",8,1.94591014905531,2014
"1020","BKCP818",12007796,"10/15/2014","F",641205,4835712,11.9,10.9,2,"IMP-S",9,1.88783517143483,2014
"1021","BKCP819",12007800,"10/20/2014","F",638605,4858412,11.3,8.5,1,"BWC-S",6,1.55443282690168,2014
"1022","BKCP820",12007802,"10/20/2014","F",639605,4849612,11.9,10.1,1,"BWC-S",5,1.35220939923383,2014
"1023","BKCP821",12007803,"10/20/2014","F",639555,4849312,12,10.1,2,"BWC-S",8,1.84869904820731,2014
"1024","BLGL892",12007633,"08/04/2014","F",644255,4842012,25.3,7.3,2,"BWC-S",9,1.78307346903822,2014
"1025","BKCP822",12007732,"09/18/2014","F",643005,4846562,17.5,7.8,2,"BWC-S",12,1.68445918116828,2014
"1026","BLGL894",12007735,"09/18/2014","F",643605,4842212,16.8,6.7,1,"BWC-S",8,1.82356350662654,2014
"1027","BKCP823",12007736,"09/18/2014","F",642205,4841362,18.1,8.2,2,"BWC-S",8,1.85750042638695,2014
"1028","BKCP824",12007794,"10/15/2014","F",640805,4839262,11.4,8.1,2,"BWC-S",6,1.64341771979318,2014
"1029","BKCP825",12006805,"08/15/2011","F",643255,4835662,24.8,6.3,1,"IMP-S",7,1.72493478639771,2011
"1030","BKCP826",12006816,"08/29/2011","F",639605,4851812,25.5,NA,1,"BWC-S",7,1.60032006099801,2011
